State,Bill Number,Summary,NCDP Categories,Subcategory,Hazard Type
California,A 128,Makes appropriations for the support of state government for the 2021-22 fiscal year.,Communications,Communications,Disaster Mitigation-Wildfire
California,A 1570,"Requires the department to assist local governments in preventing future high intensity wildland fires and instituting appropriate fuels management by making its wildland fire prevention and vegetation management expertise available to local governments to the extent possible within the department's budgetary limitations. Defines local governments to include cities, counties, and special districts.",Communications,Communications,Disaster Mitigation-Wildfire
California,A 642,"Requires the director to identify areas in the state as moderate and high fire hazard severity zones. Modifies the factors the director is required to use to classify areas into fire hazard severity zones. Requires a local agency, within a specified number of days of receiving a transmittal from the director that identifies fire hazard severity zones, to make the information available for public comment. Imposes a state mandated local program. Requires the appointment of a cultural burning liaison.",Communications,Communications,"Climate Change, Climate Change - Adaptation and Environment"
California,A 9,Establishes in the Office of the State Fire Marshal the Deputy Director of Community Wildfire Preparedness and Mitigation and would require the deputy director to be responsible for fire preparedness and mitigation missions of the department. Transfers and delegates certain duties related to fire safety and wildfire prevention from the Department of Forestry and Fire Protection and the Director of Forestry and Fire Protection to the Office of the State Fire Marshal and the State Fire Marshal.,Communications,Communications,"Water-Resources/Planning, Water, Disaster Mitigation, Disaster Mitigation-Wildfire"
California,S 1,"Includes, as part of the procedures the commission is required to adopt, recommendations and guidelines for the identification, assessment, minimization, and mitigation of sea level rise within each local coastal program, as provided. Deletes the timeframe specified above by which the commission is required to adopt these procedures. Requires the commission to take into account the effects of sea level rise in coastal resource planning and management policies and activities, as provided.",Communications,Communications,"Disaster Mitigation, Disaster Mitigation-Flooding, Sea Level Rise"
California,S 109,"Establishes the Department of Forestry and Fire Protection and establishes various programs for the prevention and reduction of wildfires. Establishes the Office of Wildfire Technology Research and Development within the Department of Forestry and Fire Protection under the direct control of the Director of the department. Makes the office responsible for studying, testing, and advising regarding procurement of emerging technologies and tools in order to more effectively prevent and suppress wildfires.",Communications,Communications,"Disaster Mitigation, Disaster Mitigation-Wildfire"
California,S 129,Relates to the Budget Act of 2021.,Communications,Communications,Disaster Mitigation-Wildfire
California,S 154,"Makes appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, relating to the state budget, to take effect immediately, budget bill.",Communications,Communications,Disaster Mitigation-Wildfire
California,S 170,Amends the Budget Act of 2021.,Communications,Communications,"Disaster Mitigation, Wildlife-Pollinators"
California,S 552,"Requires small water suppliers, as defined, serving 1,000 to 2,999 service connections, inclusive, and nontransient noncommunity water systems that are schools, no later than a specified date, to develop and maintain an abridged Water Shortage Contingency Plan that includes specified drought-planning elements. Requires a small water supplier serving fewer than 1,000 service connections to add drought planning elements to its emergency notification or response plan and submit the plan to the state board.",Communications,Communications,"Water-Resources/Planning, Water, Disaster Mitigation, Drought"
Colorado,S 7,"Concerns outreach to the public relating to wildfire risk mitigation practices, makes an appropriation.",Communications,Communications,"Disaster Mitigation, Disaster Mitigation-Wildfire"
Hawaii,S 3087,"Provides for mutual assistance between the states entering into this compact in managing any emergency or disaster that is duly declared by the governor of the affected state, whether arising from natural disaster, technological hazard, manmade disaster, civil emergency aspects of resources shortages, community disorders, insurgency, or enemy attack.",Communications,Communications,Disaster Mitigation
